Beadon Pura;-;-;-
Begam Vihar;-;-;-
Bengali Colony;-;-;-
Bengali Colony Delhi;-;-;-
Bengali Market;-;-;-
Beri Wala Bagh;-;-;-
Bhagat Chandra Hospital;-;-;-
Bhagat Colony;-;-;-
Bhagat Enclave;-;-;-
Bhagat Vihar;-;-;-
Bhagwan Buddha Housing Corporation Society;-;-;-
Bhagwan Das Road;-;-;-
Bhagwan Nagar;-;-;-
Bhagwan Nagar New Delhi;-;-;-
Bhagwati Garden;-;-;-33%
Bhagwati Garden Extension;-;-;-
Bhagya Vihar;-;-;-
Bhai Parmanand Colony;-;-;-
Bharati Artist Colony;-;-;-
Bhargava Marg;-;-;-
Bharola;-;-;-
Bharthal Village;-;-;-
Bhawana Colony;-;-;-
Bhawani Kunj;-;-;-
Bhawani Kunj New Delhi;-;-;-
Bhera Enclave;-;-;-
Bhikaji Cama;-;-;-
Bhikaji Cama Place;-;-;-
Bhilswa;-;-;-
Bhim Basti;-;-;-
Bhim Nagri;-;-;-
Bhism Pitamah Road;-;-;-
Bhiwadi;-;-;-27.2%
Bhola Nagar;-;-;-
Bholanath Nagar Marg;-;-;-
Bhopura;-;-;-
Bhorgarh;-;-;-
Biharipur Extension;-;-;-
Biharipur Village;-;-;-
Bijwasan Road;-;-;35%
Binda Pur Road;-;-;-
Bindapur Matiala Road;-;-;-
Bindapur Road;-;-;-
Bipin Chandra Pal Marg;-;-;-
Bistdari Road;-;-;-
Bk 1 Block;-;-;-
Block 18;-;-;-
Block 3;-;-;-
Block 34;-;-;-
Block 37 Rajendra Park;-;-;-
Block A;-;-;-
Block A 1;-;-;-
Block A 1 Nauroji Nagar;-;-;-
Block A 2A Asalatpur Village;-;-;-
Block A 3;-;-;-
Block A APB Garhi;-;-;-
Block A DDA Flats;-;-;-
Block A Lajpat Nagar 1 Road;-;-;-
Block A Panchvati Apartment;-;-;-
Block A Vishwakarma Park;-;-;-
Block A1;-;-;-
Block A2 Janakpuri;-;-;-
Block A3;-;-;-
Block AN Poorbi Shalimar Bag;-;-;-
Block B;-;-;-
Block B 1B;-;-;-
Block B 5;-;-;-
Block B 7;-;-;-
Block B G K 1;-;-;-
Block B Lajpat Nagar I;-;-;-
Block B Sector 17;-;-;-
Block B Shivaji Enclave;-;-;-
Block B Wazirpur Industrial Area;-;-;-
Block B West Patel Nagar;-;-;-
Block B1;-;-;-
Block B3;-;-;-
Block BD Dakshini Pitampura;-;-;-
Block BF;-;-;-
Block BG 1;-;-;-
Block BG 5;-;-;-
Block BG 7;-;-;-
Block C;-;-;-
Block C 2 Sector 14;-;-;-
Block C Krishan Kunj;-;-;-
Block C Lajpat Nagar I;-;-;-
Block C Mansa Ram Park;-;-;-
Block C Road;-;-;-
Block C Uttam Nagar East;-;-;-
Block C1;-;-;-
Block C2A;-;-;-
Block C3 Janakpuri;-;-;-
Block C4F;-;-;-
Block C4G Gate Number 1 Road;-;-;-
Block C4H;-;-;-
Block C5C;-;-;-
Block D;-;-;-
Block D 13 Phase 2;-;-;-
Block D Friends Colony East;-;-;-
Block D Kailash Colony;-;-;-
Block D Lajpat Nagar I;-;-;-
Block D Sector 8 Dwarka;-;-;-
Block DU Uttari Pitampura;-;-;-
Block E;-;-;-
Block E Greater Kailash Road Number 3;-;-;-
Block EC;-;-;-
Block ED Dakshini Pitampura;-;-;-
Block F;-;-;-
Block F 1U Uttari Pitampura;-;-;-
Block F Block H;-;-;-
Block F Pandav Nagar Road;-;-;-
Block F Vishwakarma Park;-;-;-
Block G;-;-;-
Block G Lajpat Nagar I;-;-;-
Block G Ram Nagar;-;-;-
Block G Vishwakarma Park;-;-;-
Block GH 13 GH 13;-;-;-
Block GH 14;-;-;-
Block GH 8;-;-;-
Block GH10 Sunder Vihar;-;-;-
Block GH5;-;-;-
Block H;-;-;-
Block H Guru Nanak Pura;-;-;-
Block H Lajpat Nagar I;-;-;-
Block HP Poorvi Pitampura;-;-;-
Block I;-;-;-
Block I Lajpat Nagar II;-;-;-
Block J;-;-;-
Block J K;-;-;-
Block J Kailash Colony;-;-;-
Block J Pushkar Enclave;-;-;-
Block J Rajouri Garden Extension;-;-;-
Block J Vishwakarma Park;-;-;-
Block JP Poorvi Pitampura;-;-;-
Block K Jagat Ram Park;-;-;-
Block L;-;-;-
Block L Kailash Colony Road;-;-;-
Block LD Dakshini Pitampura;-;-;-
Block LP Poorvi Pitampura;-;-;-
Block LU Uttari Pitampura;-;-;-
Block M;-;-;-
Block M Vishwakarma Park;-;-;-
Block MU Uttari Pitampura;-;-;-
Block N Vishwakarma Park;-;-;-
Block O;-;-;-
Block Q Green Park Extension;-;-;-
Block QD Dakshini Pitampura;-;-;-
Block QP Poorvi Pitampura;-;-;-
Block S Greater Kailash I;-;-;-
Block S Greater Kailash II;-;-;-
Block S Panchsheel Park South;-;-;-
Block SD Delhi;-;-;-
Block T;-;-;-
Block U;-;-;-
Block UP Poorvi Pitampura;-;-;-
Block UU Uttari Pitampura;-;-;-
Block V Budh Vihar Phase I;-;-;-
Block VP Poorvi Pitampura;-;-;-
Block W;-;-;-
Block Wa Nanakpura;-;-;-
Block Wb Ganesh Nagar II;-;-;-
Block WZ;-;-;-
Block YP Poorvi Pitampura;-;-;-
Bodella Market Budella;-;-;-
Bodhraj Kohli Marg;-;-;-
Brahampuri;-;-;-
Brahman Mohalla;-;-;-
Brahmapuri;-;-;-
Brij Puri;-;-;-
Brijwasan;-;-;82.8%
BSF Camp Chawala;-;-;-
BShah Zafar Marg;-;-;-
Buddh Vihar;-;-;-
Budella;-;-;-
Budh Bazar Road;-;-;-
Budh Nagar;-;-;-
Budh Vihar Phase II;-;-;1.9%
Budhela Village;-;-;-
Budhh Vihar Market;-;-;-
Budhpur;-;-;-
Budhpur Bijapur Village;-;-;-
Builder Apartment;-;-;-
Bungalow Road;-;-;-
Bunker Colony;-;-;-
Bunker Colony Ashok Vihar IV;-;-;-
Bunker Colony Delhi;-;-;-
Burari Garhi;-;-;-
Burari Kamal Vihar;-;-;-
Burari Village Marg;-;-;-
c 1 vasant kunj;-;-;-
C block;-;-;-
C Block Greater Kailash;-;-;-
C Block Janakpuri Road;-;-;-
C C Colony;-;-;-
C P Block Road;-;-;-
C1A Block;-;-;-
C2C Block;-;-;-
C2D Road;-;-;-
C4B BLOCK;-;-;-
C9 C10;-;-;-
CA Apartments;-;-;-
Cariappa Marg;-;-;-
cc block hari nagar;-;-;-
CC Colony;-;-;-
CD Block Dakshini Pitampura;-;-;-
Central Market Lajpat Nagar II;-;-;-
Central Secretariat;-;-;-
CGHS;-;-;-
CGHS Colony;-;-;-
Chaman Park;-;-;-
Chaman Vihar;-;-;-
Chanakya Place II;-;-;-
Chanchal Park;-;-;-
Chand Bagh;-;-;-
Chand Nagar;-;-;-
Chand Vihar;-;-;-
Chander Lok;-;-;-
Chander Nagar;-;-;-
Chander Nagar Street;-;-;-
Chander Vihar;-;-;407.6%
Chander Vihar;-;-;-
Chander Vihar Main;-;-;-
Chander Vihar Nilothi;-;-;-
Chanderlok;-;-;-
Chandni Mahal;-;-;-
Chandra Nagar;-;-;-
Chandra Shekhar Azad Colony;-;-;-
Chandu Park;-;-;-
Chatri Wala Kuan;-;-;-
Chatta Lal Miya;-;-;-
Chattarpur Enclave Phase 1;-;-;-
Chauhan Patti;-;-;-
Chaukhandi;-;-;-
Chaukhandi Road;-;-;-
Chawri Bazar;-;-;-
Chennai Delhi Highway;-;-;-
Chetan Vihar Block Z;-;-;-
Chhajjupur;-;-;-
ChhawlaGoyala Road;-;-;-
Chhoti Subji Mandi;-;-;-
Chikamberpur Village;-;-;-
Chirag Delhi;-;-;-
Chirag Delhi Main Road;-;-;-
Chitla Gate;-;-;-
Chitra Vihar;-;-;-
Chitrakoot;-;-;-
Chokhandi;-;-;-
Chowk Nai Basti;-;-;-
Christian Colony;-;-;-
Chuna Mandi;-;-;-
Church Lane;-;-;-
Church Mall Road;-;-;-
Church Road;-;-;-
Clock Tower;-;-;-
Clock Tower Chowk;-;-;-
Club Road;-;-;-
Club Road Flyover;-;-;-
Colonelganj;-;-;-
Commercia Shop Sadar Bazar;-;-;-
Commercial Shop Indra Park;-;-;-
Commercial Shop Karol Bagh;-;-;-
Commonwealth Games Village;-;-;-16.4%
Commonwealth Games Village 2010;-;-;-
Conductor Colony;-;-;-
Connaught Lane;-;-;-
Cooperganj;-;-;-
Cottage Enclave;-;-;-
CP Block Road;-;-;-
CSP Flats;-;-;-
CVD Line;-;-;-
D B Gupta Road;-;-;-
D Block;-;-;-
D Block Lane;-;-;-
D Block Vikaspuri;-;-;-
D D A Apartment Road;-;-;-
D K Road;-;-;-
D1C Block Lajwanti Garden;-;-;-
D3 Street;-;-;-
D6;-;-;-
D6 Sector D;-;-;-
Dabri Extension East;-;-;687.3%
Dabri Mor Flyover;-;-;-
Dabri Palam Road;-;-;-7.6%
Dabri Village;-;-;-
Dada Dev Mandir Road;-;-;-
Dadri Main Road;-;-;-
Dalan Mohalla;-;-;-
Dallupura Road;-;-;-
Dalmia Vihar;-;-;-
Darayapur Kalan Village;-;-;-
Dariyapur Khurd;-;-;-
DaryaGanj;-;-;-
Daryapur;-;-;-
Daryapur Khurd Village;-;-;-
Daryapur Road;-;-;-
Dauralla;-;-;-
Dayal Bagh;-;-;-
Dayalpur;-;-;-
DAYANAND COLONY;-;-;1.1%
Dayanand Vihar;-;-;-
DBlock;-;-;-
DCM Railway Colony;-;-;-
DCM Road;-;-;-
DCM School Marg;-;-;-
DDA Colony;-;-;-
dda flat;-;-;-
dda flat sec 13 a;-;-;-
DDA Flats;-;-;-
DDA Flats;-;-;-
DDA FLATS KHIRKI;-;-;-
Dda lig flats pocket c molarband;-;-;5%
DDA Market;-;-;-
dda mult sec 18;-;-;-
DDA Park Nihal Vihar;-;-;-
DDA PLOTS DWARKA;-;-;-
DDAFlat Road;-;-;-
Deep Enclave;-;-;-
Deep Vihar;-;-;-
Deep Vihar;-;-;-
Deep Vihar Sector24;-;-;-
Deepak Vihar;-;-;-
Deepali;-;-;-
Deepali Tarun Sharda Niketan;-;-;-
Deepanjali;-;-;-
Deer Park;-;-;-
Defence Colony Flyover;-;-;-
Defence Enclave;-;-;-
Delhi Ajmer Expressway;-;-;-
Delhi Apartments;-;-;-
Delhi Avenue;-;-;-
Delhi Bypass Road;-;-;-
Delhi Chauma Village;-;-;-
Delhi Cove;-;-;-
Delhi Drive;-;-;-
DELHI DWARKA;-;-;-
Delhi Gate;-;-;-
Delhi Gate Road;-;-;-
Delhi Gaur City 1;-;-;-
Delhi Gymkhana Club;-;-;-
Delhi High Court;-;-;-
Delhi Jaipur Expressway;-;-;-
Delhi Jaipur Highway;-;-;-
Delhi Kolkata Highway;-;-;-
Delhi Mathura Road;-;-;-
Delhi Meerut Expressway;-;-;-
Delhi Metro Depot;-;-;-
Delhi Metropolitan Area;-;-;-
Delhi Metropolitan Area Bhawani Kunj;-;-;-
Delhi Noida Direct Flyway;-;-;-
Delhi Omicron 1A;-;-;-
Delhi Public School Road;-;-;-
Delhi Rasoolpur Nawada;-;-;-
Delhi Road;-;-;-
Delhi Rohtak Road;-;-;-
Delhi Technological University Shahbad Daulatpur Village;-;-;-
Delhi Udyog Vihar Phase IV;-;-;-
Delhi University;-;-;46.7%
Delhi University Ground;-;-;-
Delhi Wave City Center;-;-;-
DelhiFaridabad Metro;-;-;-
DelhiMeerut Road;-;-;-
Dera Village;-;-;-
Desh Bandhu Gupta Marg;-;-;-
Desu Colony;-;-;-
Desu Colony;-;-;-
Dev Kunj;-;-;-
Devika Towers;-;-;-
Devli Extension;-;-;-
Devli Extention;-;-;-
DG 2 Road;-;-;-
Dhaka Village;-;-;-
Dhakka Extension Road;-;-;-
Dhansa;-;-;-
Dhansa Road;-;-;-
Dharam Colony Delhi;-;-;-
Dharampura;-;-;-25.7%
Dhirpur Village;-;-;-
Dhul Siras;-;-;-
Dichaon Kalan Hiran Kudna Road;-;-;-
dilli vaas;-;-;-
Dilshad Colony New Simapuri;-;-;-
Dilshad Garden Pocket E;-;-;-
Dilshad Plaza;-;-;-
Dindarpur;-;-;-
Dindarpur Shanti Vihar;-;-;-
Dinpur Lal Dora Extn Dinpur Lal Dora Extension;-;-;-
Diplomatic Enclave;-;-;-
DIZ Area;-;-;-
DK Road;-;-;-
DLF 3 Phase;-;-;-
DLF City Phase II Delhi;-;-;-
DLF City Phase III;-;-;-
DLF Dilshad Extention II Dilshad Plaza;-;-;-
DLF Golf Course;-;-;-
DLF Phase 1;-;-;-
DLF Prashant Vihar;-;-;-
DMRC;-;-;-
DND Toll Booth;-;-;-
Doctor Jose P Rizal Marg;-;-;-
Doctor KN Katju Marg;-;-;-
Dori Walan;-;-;-
Double Storey;-;-;-
DPS Matiyala;-;-;-
Dr Ambedkar Colony;-;-;-
Dr Ambedkar Nagar;-;-;-
Dr Lohia Industrial Area;-;-;-
Dr Mukherjee Nagar West Bhai Parmanand Colony;-;-;-
Dr. Ambedkar Nagar;-;-;-
DSIDC Industrial Area Narela;-;-;-
Duggal Housing;-;-;-
Dundahera Road;-;-;-
Durga Ashram Road;-;-;-
Durga Mandir Marg;-;-;-
Durga Park;-;-;-
Durga Park Colony;-;-;-
Durga Puri;-;-;-
Durga Vihar;-;-;-
Durga Vihar New Delhi;-;-;-
Durgapuri Extension Delhi;-;-;-
DVB Colony;-;-;-
Dwaraka Marg;-;-;-
Dwarka 10 Sector;-;-;-
Dwarka 11 Sector;-;-;-4%
Dwarka 12 Sector;-;-;-
Dwarka 29 Sector;-;-;-
Dwarka 8 Sector;-;-;-3.3%
Dwarka Extension;-;-;-
Dwarka Extension Delhi;-;-;-
Dwarka Flyover;-;-;-
Dwarka Goyla Dairy Road;-;-;-
Dwarka L Zone;-;-;-
Dwarka Link Road;-;-;-
DWARKA MOR RAMA PARK;-;-;-
Dwarka New Delhi 110075;-;-;26.5%
Dwarka Phase 2;-;-;-
Dwarka sec 21;-;-;-
Dwarka sec 23 Near Emabassy;-;-;-
dwarka sec19 bharat vadna apt;-;-;-
Dwarka Sec6 Market;-;-;-
Dwarka Sector 1 Pocket 2;-;-;-
Dwarka Sector 11 Pocket 3;-;-;-13.1%
Dwarka Sector 11 Pocket 4;-;-;120.8%
dwarka sector 12;-;-;23.3%
Dwarka Sector 12 Pocket 4;-;-;-
Dwarka Sector 12 Pocket 6;-;-;-
Dwarka Sector 12 Pocket 8;-;-;-
dwarka sector 13;-;-;3.4%
Dwarka Sector 16 Main Road;-;-;-
dwarka sector 19;-;-;109.3%
dwarka sector 2;-;-;-
Dwarka sector 23 Pocket 1;-;-;-
Dwarka Sector 25;-;-;-
Dwarka Sector 26;-;-;-
DWARKA SECTOR 9;-;-;-26%
Dwarka Sector 9 Pocket 2;-;-;-
Dwarka Sector 9 Road;-;-;-
Dwarka Sector3;-;-;19.5%
Dwarka Sub City;-;-;1.8%
E a s t Block Extension Road;-;-;-
East Babarpur;-;-;-
East Block Extension Road;-;-;-
East Block Road;-;-;-
east delhi;-;-;8.1%
East Delhi Extension;-;-;-
East Gokalpur;-;-;-
East Gokulpur;-;-;-
East Kidwai Nagar;-;-;-
East Krishna Nagar;-;-;-
East Moti Bagh;-;-;-
East Nathu Colony;-;-;-
East of Kailash C Block;-;-;-
East of Kailash G Block;-;-;-
East Park Road;-;-;-
East Punjabi Bagh Manohar Park;-;-;-
East Ram Nagar;-;-;-
East Rohtas Nagar;-;-;-
East Rohtas Nagar Delhi;-;-;-
East Sadatpur Extension;-;-;-
EBlock;-;-;-
Ekta Enclave;-;-;-
ELDECO Green City;-;-;-
Enclave 3;-;-;-
Engineer Enclave;-;-;-
Engineers Enclave Delhi;-;-;-
EPDP Colony;-;-;-
Eros Garden;-;-;-
Experion Heartsong;-;-;-
Extension Colony;-;-;-
F Block;-;-;-
F Block Lajpat Nagar I;-;-;-
F Block Raj Nagar Part 2;-;-;-
F Block Road;-;-;-
F i r e Brigade Lane;-;-;-
Faiz Road;-;-;-
Fajalpur Village;-;-;-
Farash Bazar;-;-;-
Fashion Street;-;-;-
Fatehpurberi;-;-;-
Fatehpuri;-;-;-
Feroze Gandhi Road;-;-;-
Ferozshah Road;-;-;-
Fetehpur Beri;-;-;-
Fine Home Apartments;-;-;-
Firozeshah Road;-;-;-
Forest Lane;-;-;-
Freedom Fighter Vihar;-;-;-
Furnished apartment;-;-;-
G Block Garden Road;-;-;-
G Block H Block Road Saket;-;-;-
G T Karnal Road;-;-;263.4%
Gacharya Kriplani Road;-;-;-
Gadaipur;-;-;-18.6%
Gadpur Farm;-;-;-
Gaffar Manzil Extension New Delhi;-;-;-
Gaffar Manzil Extn;-;-;-
Gafoor Nagar;-;-;-
Gali No 12;-;-;-
Gali No 16;-;-;-
Gali Number 1;-;-;-
Gali Number 10;-;-;-
Gali Number 11;-;-;-
Gali Number 12;-;-;-
Gali Number 13;-;-;-
Gali Number 14;-;-;-
Gali Number 2;-;-;-
Gali Number 22;-;-;-
Gali Number 3;-;-;-
Gali Number 3rd;-;-;-
Gali Number 4;-;-;-
Gali Number 5;-;-;-
Gali Number 5 MS Block;-;-;-
Gali Number 6;-;-;-
Gali Number 7;-;-;-
Gali Number 9;-;-;-
Gandhi Colony;-;-;-
Gandhi Market;-;-;-
Gandhi Nagar Seelampur;-;-;-
Gandhi Park;-;-;-
Ganesh Nagar 1;-;-;-
Ganesh Nagar I South;-;-;-
Ganesh Nagar II;-;-;-
GANESH NAGAR PANDAV NAGAR COMPLEX;-;-;-
ganesh nagar tilak nagar;-;-;-
Ganeshpura;-;-;-
Gang Nath Chowk;-;-;-
Ganga Ram Gali;-;-;-
Gangotri Apartment;-;-;-
Gangotri Apartments Road;-;-;-
Gangotri Enclave;-;-;-
Gangotri Enclave Mandakini Enclave Colony;-;-;-
Gangotri Enclave Road;-;-;-
Garhi;-;-;-
Garhi Jharia Maria;-;-;-
Garhwal Colony;-;-;-
Gari Extension;-;-;-
Garwali Mohalla;-;-;-
Garwali Mohalla Narayan Nagar;-;-;-
Gautam Colony;-;-;-
Gautam Nagar Road;-;-;-
Gautampuri Awas;-;-;-
GB Road;-;-;-
GBlock;-;-;-
GD Block Dakshini Pitampura;-;-;-
Geeta Colony Road;-;-;-
Geetanjali;-;-;-
Geetanjali Enclave West Sagarpur;-;-;-
Geetanjali Park Block RZ;-;-;-
GH 13 Ambica Vihar;-;-;-
GH 14;-;-;-
Ghaffar Manzil Colony;-;-;-
Ghaffar ManzilJohri Farm Road;-;-;-
Gharoli Dairy Farm;-;-;-
Gharoli Extension;-;-;-
Gharoli Main Road;-;-;-
Ghazipur Village;-;-;-
Ghitorni Village South Delhi;-;-;-
Ghonda;-;-;-
Ghondli Village;-;-;-
Gitanjali Enclave;-;-;-
GK1 W Block Greater Kailash;-;-;-
Gobind Mohalla;-;-;-
Godavari Apartments;-;-;-
Gokalpuri;-;-;-
Gokul Puri;-;-;-
Gold Valley Sector D;-;-;-
Golf Club;-;-;-
Golf Link 1;-;-;-
Gooba Gardens;-;-;-
Gopal Nagar Extension;-;-;-
Gopal Nagar Extn;-;-;-
Gopalpur Village;-;-;-
Gopi Nath Bazar;-;-;-
Gorakh Park East;-;-;-
Gorakh Park West;-;-;-
Government School Road;-;-;-
Govind Mohalla Haiderpur;-;-;-
Govind Park;-;-;-
Govind Puri;-;-;-17.8%
Govindpura;-;-;63.6%
Govindpura Old;-;-;-
Govindpuri Extension Kalkaji;-;-;-
Goyla Khurd;-;-;-
Goyla Vihar;-;-;-
Grand Trunk Road;-;-;-
Greater Kailash 3 Road;-;-;-
Greater kailash enclave III;-;-;-
Greater Kailash I Block E;-;-;-
Greater kailash III;-;-;-
Greater Kailash N Block;-;-;-
Greater Kailash Part 3;-;-;-27%
Green Park Extension Road;-;-;-
Green park Extn;-;-;-
GT Karnal Road Industrial Area;-;-;-
GT Road;-;-;-
GTB Enclave;-;-;36%
GTB Staff Colony;-;-;-
gujranwala apt vikas puri;-;-;-
Gulab Bagh;-;-;-
Gulabhi Bagh;-;-;-
Gulabhi Bagh Om Vihar;-;-;-
Gulmohar Enclave;-;-;35.3%
Gulmohar Park Road;-;-;-
Gulshan Park;-;-;-
gulshen eqbal;-;-;-
Gupta Enclave;-;-;-
Gurgaon Dabri Road;-;-;-
GurgaonMehrauli Road;-;-;-
Gurpreet Nagar;-;-;-
Guru Angad Nagar;-;-;-
Guru Govind Singh College;-;-;-
Guru Govind Singh Road;-;-;-
Guru Nanak Nagar;-;-;-
Guru Nanak Nagar Extension;-;-;-
Guru Nanak Pura;-;-;-
Guru Ram Das Nagar;-;-;-
Guru Ram Dass Nagar Government School Road;-;-;-
Guru Ramdas Nagar;-;-;-
Guru Ravidas Marg;-;-;-
Guru Teg Bahadur Nagar;-;-;-
Gurudwara Kalgidhar Marg;-;-;-
Gurudwara Road;-;-;-
Gurudwara Singh Sabha Marg;-;-;-
Gurugram Bajghera Nazafgarh Road;-;-;-
Gurunanak Pura;-;-;-
Gwal Pahari;-;-;-
Gyan Kunj;-;-;-
H 2 Sector 16;-;-;-
H a u z Khas Fort Road;-;-;-
H Block;-;-;-
H Block Road;-;-;-
Haidarpur;-;-;-
Haider Quli;-;-;-
Hailey Road;-;-;-
Hakikat Nagar;-;-;-
Halar Road;-;-;-
Hamidpur;-;-;-
Hans Raj College Marg;-;-;-
Hans Residential Colony;-;-;-
Hanuman Kunj;-;-;-
Hanuman Road;-;-;-
Hanumangarh;-;-;-
Har Nagar;-;-;-
Hardevpuri;-;-;-
Hargobind Enclave;-;-;-
Hargobind Enclave New Delhi;-;-;-
Hargovind Vihar;-;-;-
Hari Enclave;-;-;-
Hari Ki Chakki Wali Gali;-;-;-
Hari Kothi Lane;-;-;-
Hari Nagar Janak Park;-;-;-
Hari Nagar Pratap Nagar;-;-;-
Hari Vihar;-;-;-
Harian Basti;-;-;-
Harijan Basti;-;-;-
Harit Vihar;-;-;-
haritage appt sec 11;-;-;-
Hasanpur;-;-;-
Hastsal Road;-;-;-
Hastsal Vihar;-;-;-
Hastsal Vihar Delhi;-;-;-
Hastsal Village;-;-;-
Hauz Khas Block Q;-;-;-
Hauz Khas Village New Delhi;-;-;-
Hauz Qazi;-;-;-
HAUZ RANI;-;-;-
Hauzrani Enclave;-;-;-
HIG Flats;-;-;-
High Rise Society;-;-;-
-;-;-;him vihar appartments
-;-;-;HIMACHALI APARTMENT
-;-;-;Himigiri Enclave
-;-;-;Himmatpuri
-;-;-;Hiran Kudna
-;-;-;Hiranki
-;-;-;Holambi Kalan
-;-;-;Hostal Vihar
-;-;-;HPL Staff Colony Jangpura A
-;-;-;HU Block
-;-;-;Huda
-;-;-;Hudco Colony
-;-;-;Hudco Place
-;-;-;Hudson Lane
-;-;-;Humayunpur
-;-;-;huze khas app
-;-;-;Hyderabad House
-;-;-;I G I Airport T3 Road
-;-;-;IAA Colony
-;-;-;IFCI Colony
-;-;-;IGI Airport
-;-;-;IGI Airport T3 Road
-;-;-;Ignou Road  Sainik Farm
-;-;-;Ignou Road Chhatarpur
-;-;-;Ignou Road Sainik Farm
-;-;-;IIT Delhi Main Road
-;-;-;INA Colony
-;-;-;Income Tax Colony
-;-;-;Independent House Anand Niketan
-;-;-;Independent House Uttam Nagar
-;-;-;Inder Enclave
-;-;-;Inder Enclave Road
-;-;-;Inderlok
-;-;-57.8%;Indian Air Lines & Air India Estate
-;-;-;Indira Nagar
-;-;-;Indira Park
-;-;-;Indira Vihar
-;-;-;Indra Enclave
-;-;-;Indra Nagar
-;-;-;Indra Park
-;-;-;Indra Park East Extn
-;-;-5.4%;Indra Vihar
-;-;-;Indra Vihar I
-;-;-;Indra Vikas Colony Bhai Parmanand Colony
-;-;-;Indraprastha
-;-;-;Industrial Land and Building Okhla Industrial Area
-;-;-;Infinity Road
-;-;-;Institutional Area
-;-;-;IP Colony Indraprasth Colony
-;-;-;Iradat Nagar
-;-;-;Isapur Khera
-;-;-;Isherheri
-;-;-;Ishwar Colony
-;-;-;Iskcon Temple Road
-;-;-;Islam Colony
-;-;-;ITO
-;-;-;J Block
J Block Road;-;-;-
J Extension;-;-;-
Jafrabad;-;-;-
Jagat Ram Park;-;-;-
Jagdamba Camp;-;-;-
Jagdamba Vihar;-;-;-
Jagdamba Vihar Delhi;-;-;-
Jagdamba Vihar West Sagarpur;-;-;-
Jagjeet Nagar;-;-;-
Jagjit Nagar;-;-;-
Jagpura;-;-;-
jagran sector 22;-;-;-
Jagrati Vihar;-;-;-
Jagriti Enclave Shreshtha Vihar;-;-;-
Jahangir Puri;-;-;-48.9%
Jahangirpuri Industrial Area;-;-;-
Jahanpanah Monument;-;-;-
Jai Bharat Encl;-;-;-
Jai Vihar;-;-;-
Jai Vihar Colony;-;-;-
Jai Vihar Extn;-;-;-
Jaidev Park;-;-;-
jain colony;-;-;-
Jain Mandir Road;-;-;-
Jain Mohalla Seelampur;-;-;-
Jain Nagar Extension;-;-;-
Jain Park;-;-;13.8%
Jain Park Om Vihar;-;-;-
Jain Road;-;-;-
Jal Board Colony;-;-;-
Jal Vihar;-;-;-
Jama Masjid;-;-;-
Jammu Delhi Road;-;-;-
Janak Park Pocket 408;-;-;-
Janakpuri B1 Market;-;-;-
janakpuri District Center;-;-;14.4%
Janki Panchal Vihar;-;-;-
Janta Colony;-;-;-
Janta Flats;-;-;-
Janta Vihar;-;-;-
Jasola Sector 8;-;-;-16.6%
Jasola Vihar Sector 8 Road;-;-;17.7%
Jatva Basti;-;-;-
Jaunti;-;-;-
Jawahar Nagar;-;-;-
Jawahar Park Shalimar Garden;-;-;-
Jawaharlal Nehru Camp;-;-;-
Jawaharlal Nehru Stadium;-;-;-
Jawaharlal Nehru University;-;-;-
Jawala Nagar;-;-;-
Jeevan Park;-;-;-
jeewan nagar;-;-;-
Jhandewalan;-;-;-
Jhandewalan Extn;-;-;-
Jhangola;-;-;-
Jharoda;-;-;-
Jhatikara;-;-;-27.1%
Jheel Khurenja;-;-;-
Jhilmil Colony Industrial Area;-;-;-
jhilmil ind area;-;-;-
Jhilmil Industrial Area;-;-;-
Jhulelal Mandir Marg;-;-;-
Jia Sarai Trail;-;-;-
Jitar Nagar;-;-;-
Jivan Park;-;-;-
JJ Colony;-;-;-
JJ Colony;-;-;-
JJ Colony No 2;-;-;-
JJ Colony No 3;-;-;-
JJ Colony Wazirpur;-;-;-
Jogabai;-;-;-
Johri Enclave;-;-;-
Johripur Enclave;-;-;-
Johripur Extension;-;-;-
Johripur Extn.;-;-;-
Jor Bagh Colony Road;-;-;-
Joshi Colony;-;-;-
Juanapur;-;-;-
Junapur Village;-;-;-
Jurbagh;-;-;-
Jwalapuri;-;-;-
Jyoti Colony;-;-;-
Jyoti Nagar;-;-;-
K a l a Mandir Road;-;-;-
K a l u Sarai Road;-;-;-
k block Road;-;-;-
K I Zone Goyla Dairy;-;-;-
Kabir Nagar;-;-;-
Kabool Nagar;-;-;-
Kadambari Road;-;-;-
Kadipur;-;-;-
Kadipur Village;-;-;-
Kailash Colony Road;-;-;-
Kailash Kunj;-;-;-
Kailash Nagar;-;-;-
Kailash Park;-;-;-
Kailash Puri;-;-;-
Kailash Puri Extension;-;-;-
Kailash Road;-;-;-
Kailashpuri Road;-;-;-
Kailashpuri West;-;-;-
kailaspuri road;-;-;-
Kair;-;-;-
Kakraula Village;-;-;-
Kakrola;-;-;-5%
Kakrola Road;-;-;-
Kali Mandir Society;-;-;-
Kalindi Colony;-;-;-
Kalka Dass;-;-;-
Kalka Public School Road;-;-;-
Kalkaji Flyover;-;-;-
Kalu Ram Chowk Road;-;-;-
Kalyan Marg;-;-;-
Kalyan Puri Road;-;-;-
Kalyanpuri;-;-;-
Kalyanvas;-;-;-
Kamal Park;-;-;-
Kamal Pur;-;-;-
Kamal Vihar;-;-;-
