Kalindi Kunj Mithapur Road;-;-;-5.2%
Mundka; 3,407 - 5,333 / sqft; 4,851.5 / sqft;-33.3%
Nizamuddin East; 26,488 / sqft; 26,488.1 / sqft;-
Sector 14 Rohini; 10,000 - 21,212 / sqft; 19,460.93 / sqft;-
Tanki Road;-;-;-
IP Extension; 6,786 - 16,786 / sqft; 15,262.49 / sqft;-47.7%
South Extension Part 1;-;-;-
Roop Nagar;-;-;75.1%
Munirka; 12,174 - 44,444 / sqft; 17,882.58 / sqft;-1.8%
Sector 28 Dwarka; 3,385 - 8,632 / sqft; 8,70.08 / sqft;-5.9%
Abul Fazal Enclave Jamia Nagar; 2,777 - 7,222 / sqft; 5,466.75 / sqft;-
Molarband Village;-;-;-
Sadiq Nagar;-;-;-
Shaheen Bagh Jamia Nagar; 4,102 - 8,148 / sqft; 5,993.23 / sqft;-6.3%
East Patel Nagar;-;-;-
Mohan Baba Nagar;-;-;-
Tigri Colony;-;-;-
Sector 14 Dwarka; 4,000 - 12,698 / sqft; 9,773.02 / sqft;-44.1%
Sector 18B Dwarka; 7,916 - 11,368 / sqft; 11,130.24 / sqft;4.2%
Shadipur; 19,514 - 45,454 / sqft; 31,861.16 / sqft;-
Mayur Vihar; 6,667 - 22,258 / sqft; 15,499.23 / sqft;-
Mayur Vihar II; 6,800 - 15,714 / sqft; 11,542.45 / sqft;-
Tuglak Road; 1,29,457 / sqft; 1,29,457.44 / sqft;-
Ismailpur Road;-;-;-
Badarpur Extension Tajpur;-;-;-
Madanpur Khadar Village;-;-;-
Hastsal; 3,100 - 6,286 / sqft; 5,341.8 / sqft;17.3%
Talimabad;-;-;-
Tughlaqabad Village;-;-;-
Maidan Garhi; 3,889 - 5,830 / sqft; 4,963.55 / sqft;653.3%
Aali Village;-;-;-
Prem Nagar;-;-;-11.5%
Kaushambi; 4,333 - 5,800 / sqft; 5,800 / sqft;75.9%
Khanpur Krishna Park; 2,727 - 3,857 / sqft; 3,641.28 / sqft;23.2%
Pandav Nagar; 3,125 - 5,882 / sqft; 4,869.12 / sqft;-10.7%
Sector-17 Rohini; 5,833 / sqft; 5,833 / sqft;-
Bali Nagar; 9,500 / sqft; 9,500 / sqft;7%
Dilshad Garden; 2,450 - 18,462 / sqft; 10,618.17 / sqft;90.6%
Sagar Pur;-;-;-
Swasthya Vihar;-;-;-
Alaknanda; 11,728 - 15,667 / sqft; 15,159.09 / sqft;-
Devli;-;-;42.8%
Lajpat Nagar II;-;-;2.3%
Pushp Vihar;-;-;-
Sangam Vihar Road;-;-;-
Prahladpur;-;-;-
Sukhdev Vihar; 14,286 - 21,667 / sqft; 17,976.19 / sqft;16.8%
Tigri;-;-;2%
Moti Bagh; 14,583 / sqft; 14,583.33 / sqft;-
Khera Khurd; 2,111 - 8,824 / sqft; 6,194.48 / sqft;-
Vasundhara Enclave; 6,364 - 12,308 / sqft; 10,971.6 / sqft;-29.4%
Gagan Vihar Mithapur Extension;-;-;-
Bharat Vihar; 3,111 - 4,666 / sqft; 4,441.02 / sqft;-
Budh Vihar; 6,667 - 8,444 / sqft; 8,444 / sqft;-
i p extension patparganj; 7,143 - 13,333 / sqft; 10,625 / sqft;-17.7%
Jaitpur Kalindi Kunj Road;-;-;-
Sector 15 Rohini; 7,737 - 14,286 / sqft; 12,285.48 / sqft;-
Aya Nagar; 741 - 3,810 / sqft; 2,627.87 / sqft;-11.3%
Devli Nai Basti;-;-;-
Harijan Basti;-;-;-
Sewak Park; 3,091 - 6,667 / sqft; 4,833.25 / sqft;-7.1%
Sector36 Rohini;-;-;-
Devli Extention Deoli Gaon Nai Basti;-;-;-
Khanpur Colony; 3,684 / sqft; 3,684 / sqft;-
Babar Road;-;-;-
Madhu Vihar; 3,889 - 5,143 / sqft; 4,298.52 / sqft;-
Shaheen Bagh Jasola Vihar;-;-;-
Jawahar Park; 2,727 - 3,913 / sqft; 3,433.63 / sqft;46.2%
Vivek Vihar;-;-;69%
Basantpur;-;-;-
Mohan Baba Nagar New Delhi;-;-;-
Nizamuddin West;-;-;-
Tajpur Pahari Village;-;-;-
Ali Gaon;-;-;-
Dwarka Sector 15; 6,000 - 8,000 / sqft; 6,703.7 / sqft;-
Gyan Mandir Road;-;-;-
Kalkaji Govindpuri;-;-;-
Madanpur Khadar Extension;-;-;-
New Rajendra Nagar;-;-;-
Sector-B Vasant Kunj; 6,522 - 17,000 / sqft; 13,321.13 / sqft;-14.2%
Vijay Nagar;-;-;-22.2%
Vishwakarma Colony;-;-;-
Ali Vihar Sarita Vihar;-;-;-
Kalyan Vihar; 9,259 / sqft; 9,259.26 / sqft;-33.9%
Soami Nagar;-;-;-
Vasant Kunj Enclave;-;-;-
Bees Sutri Harijan Basti;-;-;-
DLF Farms; 5,394 - 7,143 / sqft; 6,746.03 / sqft;-
Uttari Pitampura;-;-;-
Yamuna Vihar;-;-;255.5%
Connaught Place; 40,789 - 77,273 / sqft; 64,147.24 / sqft;-25.1%
Ladosarai;-;-;-46.1%
Meethapur Palla Road;-;-;-
South Extension 1; 24,545 / sqft; 24,545.45 / sqft;-
Sundar Nagar;-;-;-
West Patel Nagar; 6,053 - 8,333 / sqft; 6,886.23 / sqft;-56.4%
Sector 16B Dwarka; 4,375 - 12,083 / sqft; 8,461.14 / sqft;-19.9%
Adarsh Nagar; 7,295 - 11,667 / sqft; 11,666.67 / sqft;-
Duggal Colony; 2,444 - 4,210 / sqft; 3,773.47 / sqft;-2.1%
Lajpat Nagar I; 11,111 / sqft; 11,111.11 / sqft;-
Mahipalpur; 3,555 - 4,848 / sqft; 4,636.36 / sqft;6.3%
Old Rajender Nagar;-;-;-
Razapur Khurd; 3,222 - 4,583 / sqft; 4,128.47 / sqft;-
Batla House Okhla;-;-;-
Ekta Vihar;-;-;-
Harsh Vihar;-;-;-
Hari Nagar Ashram; 5,143 - 6,222 / sqft; 6,132.28 / sqft;-
Jamia Millia Islamia;-;-;-
Molarband School Road;-;-;-
New Rajinder Nagar;-;-;-
Qutab Institutional Area;-;-;-
Shakurpur;-;-;-
Vishnu Garden; 4,500 / sqft; 4,500 / sqft;7.4%
Baljeet Nagar;-;-;-
Dakshinpuri;-;-;-
Madangir;-;-;-44.1%
Okhla Vihar; 3,838 / sqft; 3,838 / sqft;-9.9%
Deoli Khanpur;-;-;-8.6%
Gagan Vihar;-;-;-15.3%
Sector 1 Rohini; 6,173 / sqft; 6,172.84 / sqft;-
Shakti Vihar School Road;-;-;-
Wazirabad;-;-;-51.1%
Adchini;-;-;-
Begumpur Road;-;-;-
Bijwasan; 4,039 - 23,500 / sqft; 16,493.83 / sqft;-
Freedom Fighter Enclave; 4,210 - 4,794 / sqft; 4,794 / sqft;-22.7%
Nai Basti Delhi;-;-;-
Manglapuri; 2,900 - 8,250 / sqft; 7,351.67 / sqft;-
Fateh Nagar; 7,143 - 10,483 / sqft; 8,813.06 / sqft;-
Nangloi; 3,333 - 4,167 / sqft; 4,27.78 / sqft;-62.5%
Narela; 2,689 - 8,500 / sqft; 6,688.1 / sqft;-47.8%
Prashant Vihar Sector 14;-;-;-
Pur VIllage; 3,556 - 3,704 / sqft; 3,703.7 / sqft;-
Siri Fort; 7,391 - 33,333 / sqft; 25,110.89 / sqft;-
Sri Niwaspuri;-;-;-
Vrindavan Road;-;-;-
Zakir Bagh;-;-;-
Civil Lines; 9,436 - 36,364 / sqft; 22,257.19 / sqft;-27.8%
Bharthal; 5,238 - 8,400 / sqft; 6,922.79 / sqft;-
Govind Puri Giri Nagar;-;-;-
India Gate;-;-;-
Khanpur Village;-;-;-
Old Delhi; 5,636 - 14,184 / sqft; 13,308.99 / sqft;-
Raja garden;-;-;-
Surajmal Vihar;-;-;-18.9%
Kapashera; 3,118 - 4,286 / sqft; 4,76.53 / sqft;52.7%
Deoli Gaon Nai Basti; 2,573 - 3,368 / sqft; 3,017 / sqft;-
Hamdard Nagar;-;-;-
JJ Colony;-;-;-
Kalindi Kunj Road;-;-;-
Karawal Nagar;-;-;-
Lal Kuan Bazar;-;-;-
Mandawali; 7,500 - 11,818 / sqft; 11,818.18 / sqft;16.6%
Molar band Extension;-;-;-
Nehru Place;-;-;-
Sector 2 Rohini; 7,400 / sqft; 7,400 / sqft;-
Sector 37 Rohini; 3,000 / sqft; 3,000 / sqft;-
Sonia Vihar;-;-;-
Giri Nagar;-;-;-
Hauz Khas Enclave;-;-;-
